Temps (s) 	 Thermocouple (°C) 	 Lumière 	 Pression (Pa)
374.52	6.35	1008.00	94642.86
375.58	6.35	1008.00	94642.86
376.63	6.35	1007.00	94642.86
377.68	6.35	1007.00	94642.86
378.73	6.35	1006.00	94419.64
379.78	6.35	1007.00	94642.86
380.83	6.35	1007.00	94642.86
381.88	6.35	1006.00	94642.86
382.93	6.35	1007.00	94642.86
383.98	5.87	1006.00	94642.86
385.03	5.87	1006.00	94642.86
386.08	5.87	1005.00	94642.86
387.14	5.87	1006.00	94419.64
388.19	5.87	1006.00	94642.86
389.24	5.87	1007.00	94642.86
390.29	6.35	1007.00	94642.86
391.34	6.35	1007.00	94642.86
392.39	6.35	1008.00	94642.86
393.44	6.35	1008.00	94419.64
394.49	6.84	1008.00	94419.64
395.54	6.84	1007.00	94642.86
396.59	6.84	1008.00	94419.64
397.64	6.84	1008.00	94642.86
398.69	7.33	1008.00	94642.86
399.75	7.33	1008.00	94419.64
400.80	7.33	1008.00	94419.64
401.85	7.33	1009.00	94419.64
402.90	6.84	1008.00	94642.86
403.95	6.84	1008.00	94642.86
405.00	6.84	1008.00	94419.64
406.05	6.84	1008.00	94419.64
407.10	7.33	1007.00	94419.64
408.15	7.33	1007.00	94642.86
409.20	7.33	1008.00	94419.64
410.26	7.33	1006.00	94419.64
411.30	7.33	1007.00	94419.64
412.36	7.33	1008.00	94419.64
413.41	7.33	1008.00	94419.64
414.46	7.33	1008.00	94642.86
415.51	7.33	1009.00	94419.64
416.56	7.33	1009.00	94419.64
417.61	7.33	1008.00	94419.64
418.66	7.33	1008.00	94419.64
419.71	7.33	1008.00	94419.64
420.76	7.33	1009.00	94419.64
421.81	7.33	1008.00	94419.64
422.86	6.84	1007.00	94642.86
423.91	6.84	1008.00	94419.64
424.96	6.84	1008.00	94419.64
426.04	6.84	1008.00	94419.64
427.09	7.33	1008.00	94419.64
428.14	7.33	1008.00	94419.64
429.19	7.33	1008.00	94419.64
430.24	7.33	1008.00	94419.64
431.29	7.33	1008.00	94419.64
432.34	7.33	1009.00	94419.64
433.39	7.33	1009.00	94419.64
434.44	7.33	1009.00	94419.64
435.49	7.33	1009.00	94419.64
436.54	7.33	1009.00	94196.43
437.60	7.33	1009.00	94419.64
438.64	7.33	1009.00	94419.64
439.70	6.84	1009.00	94419.64
440.75	6.84	1008.00	94419.64
441.80	6.84	1008.00	94419.64
442.85	6.84	1005.00	94419.64
443.90	6.84	1007.00	94196.43
444.95	6.84	1005.00	94419.64
446.00	6.84	1006.00	94419.64
447.05	6.84	1007.00	94419.64
448.11	6.84	1007.00	94419.64
449.16	6.84	1007.00	94419.64
450.21	6.84	1008.00	94419.64
451.26	7.33	1008.00	94196.43
452.31	6.84	1007.00	94196.43
453.36	7.33	1005.00	94419.64
454.41	7.33	1004.00	94419.64
455.46	7.33	1004.00	94419.64
456.51	7.33	1005.00	94419.64
457.56	7.33	1005.00	94196.43
458.61	7.33	1006.00	94419.64
459.67	7.33	1006.00	94196.43
460.72	7.33	1007.00	94196.43
461.77	7.33	1007.00	94196.43
462.82	7.33	1006.00	94419.64
463.87	7.33	1006.00	94196.43
464.92	7.33	1006.00	94419.64
465.97	7.33	1006.00	94196.43
467.02	7.33	1006.00	94196.43
468.07	7.33	1000.00	94196.43
469.12	7.33	1001.00	94196.43
470.17	7.33	1005.00	94196.43
471.22	7.33	996.00	94196.43
472.27	7.33	998.00	94196.43
473.32	7.33	1000.00	94196.43
474.37	7.33	1003.00	94419.64
475.42	7.33	996.00	94196.43
476.47	7.33	993.00	94196.43
477.53	7.33	995.00	94196.43
478.58	7.33	999.00	94196.43
479.63	7.33	1009.00	94196.43
480.68	7.33	1010.00	94196.43
481.73	7.33	1009.00	94196.43
482.78	7.33	1009.00	94196.43
483.83	6.84	1007.00	94196.43
484.88	7.33	1008.00	94196.43
485.93	7.33	1008.00	94196.43
486.98	7.33	1008.00	94196.43
488.03	7.33	1008.00	94196.43
489.08	7.33	1008.00	94196.43
490.13	7.33	1008.00	94196.43
491.18	7.33	1008.00	94196.43
492.23	7.33	1008.00	94196.43
493.29	7.33	1008.00	94196.43
494.34	7.33	1008.00	94196.43
495.39	7.33	1008.00	94196.43
496.44	7.33	1008.00	94196.43
497.49	7.33	1008.00	94196.43
498.54	7.33	1008.00	94196.43
499.59	7.33	1008.00	94196.43
500.64	7.33	1008.00	94196.43
501.69	7.33	1009.00	94196.43
502.75	7.33	1008.00	94196.43
503.80	7.33	1009.00	94196.43
504.85	7.33	1008.00	94196.43
505.91	7.33	1009.00	94196.43
506.95	7.33	1009.00	94196.43
508.01	7.33	1009.00	94196.43
509.06	7.33	1009.00	94196.43
510.11	7.33	1009.00	94196.43
511.16	7.33	1009.00	93973.21
512.21	7.33	1008.00	94196.43
513.26	7.33	1007.00	94196.43
514.31	7.33	1007.00	94196.43
515.36	7.33	1007.00	94196.43
516.41	7.33	1007.00	94196.43
517.47	7.33	1008.00	94196.43
518.52	7.33	1009.00	94196.43
519.57	7.33	1009.00	94196.43
520.62	7.33	1010.00	94196.43
521.67	7.33	1009.00	94196.43
522.72	7.33	1010.00	93973.21
